iter	Passed	Remaining
0	21	21849
1	44	22235
2	72	24020
3	94	23510
4	115	22916
5	134	22346
6	154	21911
7	173	21532
8	198	21850
9	226	22425
10	248	22380
11	269	22169
12	289	22006
13	307	21685
14	327	21474
15	346	21296
16	362	20972
17	382	20861
18	399	20644
19	416	20425
20	433	20193
21	450	20028
22	469	19961
23	487	19822
24	513	20017
25	530	19889
26	545	19671
27	565	19625
28	582	19494
29	598	19347
30	617	19298
31	636	19241
32	655	19201
33	676	19208
34	693	19121
35	709	18999
36	726	18895
37	744	18850
38	761	18760
39	781	18749
40	800	18728
41	826	18841
42	842	18750
43	859	18678
44	876	18602
45	894	18550
46	928	18832
47	958	19013
48	989	19209
49	1016	19304
50	1033	19230
51	1054	19218
52	1074	19193
53	1092	19130
54	1108	19054
55	1127	19003
56	1145	18950
57	1167	18969
58	1183	18874
59	1200	18803
60	1226	18876
61	1241	18782
62	1261	18759
63	1280	18734
64	1306	18794
65	1327	18784
66	1344	18717
67	1367	18748
68	1765	23825
69	1795	23853
70	1816	23770
71	1835	23658
72	1850	23496
73	1866	23357
74	1883	23234
75	1904	23148
76	1918	23002
77	1960	23174
78	2003	23351
79	2034	23393
80	2067	23456
81	2096	23473
82	2113	23350
83	2127	23198
84	2146	23104
85	2163	22992
86	2182	22907
87	2199	22792
88	2217	22698
89	2235	22602
90	2250	22480
91	2268	22391
92	2287	22305
93	2302	22190
94	2318	22086
95	2335	21994
96	2350	21884
97	2367	21786
98	2382	21687
99	2403	21629
100	2422	21565
101	2440	21487
102	2457	21399
103	2474	21322
104	2493	21250
105	2506	21135
106	2535	21164
107	2563	21171
108	2599	21248
109	2639	21354
110	2662	21324
111	2684	21281
112	2705	21235
113	2722	21156
114	2744	21120
115	2763	21062
116	2787	21040
117	2808	20995
118	2829	20947
119	2850	20900
120	2869	20842
121	2885	20768
122	2899	20672
123	2920	20631
124	2940	20581
125	2958	20524
126	2978	20472
127	2994	20398
128	3013	20349
129	3034	20307
130	3056	20272
131	3075	20221
132	3092	20159
133	3113	20118
134	3131	20064
135	3150	20011
136	3167	19955
137	3184	19890
138	3202	19839
139	3221	19786
140	3240	19743
141	3260	19699
142	3279	19654
143	3299	19611
144	3319	19575
145	3338	19527
146	3356	19475
147	3379	19456
148	3396	19398
149	3413	19345
150	3431	19292
151	3449	19247
152	3465	19184
153	3484	19142
154	3505	19108
155	3529	19094
156	3547	19049
157	3566	19003
158	3586	18967
159	3604	18925
160	3623	18883
161	3640	18829
162	3665	18820
163	3689	18808
164	3707	18762
165	3726	18722
166	3745	18681
167	3769	18669
168	3786	18621
169	3809	18599
170	3834	18588
171	3850	18537
172	3873	18516
173	3892	18477
174	3909	18429
175	3925	18376
176	3945	18346
177	3982	18391
178	4029	18482
179	4050	18450
180	4072	18428
181	4092	18392
182	4108	18344
183	4128	18308
184	4149	18280
185	4168	18241
186	4184	18192
187	4203	18153
188	4221	18113
189	4239	18072
190	4255	18026
191	4274	17989
192	4293	17952
193	4310	17908
194	4328	17867
195	4351	17849
196	4370	17813
197	4389	17778
198	4410	17754
199	4434	17737
200	4452	17697
201	4472	17669
202	4491	17634
203	4509	17596
204	4533	17580
205	4549	17536
206	4579	17543
207	4604	17533
208	4621	17491
209	4641	17461
210	4659	17424
211	4682	17405
212	4705	17386
213	4727	17362
214	4745	17327
215	4767	17303
216	4786	17271
217	4802	17227
218	4828	17218
219	4850	17196
220	4873	17178
221	4893	17149
222	4923	17155
223	4942	17123
224	4960	17085
225	4981	17059
226	5001	17032
227	5018	16993
228	5034	16950
229	5051	16912
230	5072	16887
231	5094	16864
232	5113	16832
233	5136	16814
234	5158	16792
235	5176	16759
236	5201	16744
237	5220	16713
238	5241	16690
239	5262	16664
240	5281	16634
241	5306	16620
242	5324	16587
243	5347	16569
244	5369	16547
245	5396	16541
246	5417	16516
247	5436	16485
248	5453	16449
249	5475	16425
250	5493	16393
251	5521	16389
252	5541	16363
253	5561	16334
254	5577	16295
